order_id;order_date;order_time;quantity;pizza_size;unit_price;pizza_id
1;2015-01-01;11:38:36;1;M;13.25;1
2;2015-01-01;11:57:40;1;M;16.00;2
2;2015-01-01;11:57:40;1;L;18.50;3
2;2015-01-01;11:57:40;1;L;20.75;4
2;2015-01-01;11:57:40;1;M;16.00;5
2;2015-01-01;11:57:40;1;L;20.75;6
3;2015-01-01;12:12:28;1;M;16.50;4
3;2015-01-01;12:12:28;1;L;20.75;7
4;2015-01-01;12:16:31;1;M;16.50;4
5;2015-01-01;12:21:30;1;M;16.50;4
6;2015-01-01;12:29:36;1;S;12.75;8
6;2015-01-01;12:29:36;1;S;12.00;9
7;2015-01-01;12:50:37;1;S;12.50;10
8;2015-01-01;12:51:37;1;S;12.50;10
9;2015-01-01;12:52:01;1;S;12.00;2
9;2015-01-01;12:52:01;1;S;12.00;11
9;2015-01-01;12:52:01;1;L;20.50;12
9;2015-01-01;12:52:01;1;L;20.75;4
9;2015-01-01;12:52:01;1;S;12.50;4
9;2015-01-01;12:52:01;1;S;12.00;5
9;2015-01-01;12:52:01;1;L;20.75;13
9;2015-01-01;12:52:01;1;L;20.75;14
9;2015-01-01;12:52:01;1;S;12.00;15
10;2015-01-01;13:00:15;1;L;20.25;5
10;2015-01-01;13:00:15;1;L;20.75;16
11;2015-01-01;13:02:59;1;L;20.75;8
11;2015-01-01;13:02:59;1;L;20.75;17
11;2015-01-01;13:02:59;1;M;16.75;17
11;2015-01-01;13:02:59;1;L;15.25;18
12;2015-01-01;13:04:41;1;L;20.75;17
12;2015-01-01;13:04:41;1;S;12.75;17
12;2015-01-01;13:04:41;1;L;20.75;19
12;2015-01-01;13:04:41;1;M;16.50;4
13;2015-01-01;13:11:55;1;L;20.25;5
14;2015-01-01;13:14:19;1;S;12.00;9
15;2015-01-01;13:33:00;1;S;12.00;20
15;2015-01-01;13:33:00;1;L;18.50;3
15;2015-01-01;13:33:00;1;L;20.75;21
15;2015-01-01;13:33:00;1;S;12.00;9
16;2015-01-01;13:34:07;1;L;17.95;22
16;2015-01-01;13:34:07;1;S;12.00;23
16;2015-01-01;13:34:07;1;L;20.75;6
17;2015-01-01;13:53:00;1;L;20.75;8
17;2015-01-01;13:53:00;1;M;16.25;24
17;2015-01-01;13:53:00;1;L;18.50;3
17;2015-01-01;13:53:00;1;M;14.75;22
17;2015-01-01;13:53:00;1;M;16.50;4
17;2015-01-01;13:53:00;1;S;12.75;25
17;2015-01-01;13:53:00;2;M;16.00;26
17;2015-01-01;13:53:00;1;L;20.25;5
17;2015-01-01;13:53:00;1;S;12.50;27
17;2015-01-01;13:53:00;1;L;20.25;28
18;2015-01-01;13:57:08;1;L;20.50;23
19;2015-01-01;13:59:09;1;L;20.50;12
19;2015-01-01;13:59:09;1;L;20.25;29
20;2015-01-01;14:03:08;1;S;12.00;20
20;2015-01-01;14:03:08;1;L;18.50;3
21;2015-01-01;14:14:29;1;L;20.50;12
22;2015-01-01;14:16:26;1;L;18.50;3
22;2015-01-01;14:16:26;1;M;16.00;12
22;2015-01-01;14:16:26;1;L;20.75;16
23;2015-01-01;14:19:03;1;S;12.75;16
24;2015-01-01;14:23:01;1;M;16.75;8
24;2015-01-01;14:23:01;1;M;16.00;12
24;2015-01-01;14:23:01;1;M;12.50;18
24;2015-01-01;14:23:01;1;S;12.50;7
25;2015-01-01;14:44:44;1;M;16.25;29
25;2015-01-01;14:44:44;1;L;20.75;6
26;2015-01-01;14:54:26;1;S;12.00;2
26;2015-01-01;14:54:26;1;L;20.25;15
27;2015-01-01;15:11:17;1;L;20.75;8
27;2015-01-01;15:11:17;1;M;16.00;2
27;2015-01-01;15:11:17;1;L;20.25;28
28;2015-01-01;15:35:46;1;S;12.75;30
29;2015-01-01;15:41:01;1;S;12.00;11
30;2015-01-01;15:41:25;1;L;20.75;6
31;2015-01-01;15:50:18;1;M;16.00;5
31;2015-01-01;15:50:18;1;S;9.75;18
32;2015-01-01;15:53:18;1;S;12.00;20
32;2015-01-01;15:53:18;1;L;20.25;11
32;2015-01-01;15:53:18;1;L;20.50;12
32;2015-01-01;15:53:18;1;M;16.50;4
33;2015-01-01;15:54:08;1;L;20.75;8
33;2015-01-01;15:54:08;1;S;12.00;11
34;2015-01-01;16:21:21;1;S;12.00;9
35;2015-01-01;16:32:04;1;M;16.00;11
35;2015-01-01;16:32:04;1;L;17.50;31
35;2015-01-01;16:32:04;1;M;12.50;18
35;2015-01-01;16:32:04;1;L;20.75;6
36;2015-01-01;16:54:09;1;M;16.75;8
36;2015-01-01;16:54:09;1;M;16.00;2
37;2015-01-01;16:56:09;1;L;20.75;4
37;2015-01-01;16:56:09;1;L;20.25;5
38;2015-01-01;17:03:00;1;S;10.50;1
38;2015-01-01;17:03:00;1;L;20.50;12
39;2015-01-01;17:07:23;1;L;20.75;4
40;2015-01-01;17:14:36;1;L;17.95;22
40;2015-01-01;17:14:36;1;S;12.75;16
41;2015-01-01;17:15:20;1;M;14.75;22
41;2015-01-01;17:15:20;1;S;12.00;11
42;2015-01-01;17:28:09;1;S;12.00;20
42;2015-01-01;17:28:09;1;L;18.50;3
42;2015-01-01;17:28:09;1;L;20.25;5
42;2015-01-01;17:28:09;1;M;16.50;27
43;2015-01-01;17:38:34;1;M;16.75;30
43;2015-01-01;17:38:34;1;M;16.50;4
43;2015-01-01;17:38:34;1;L;20.75;27
44;2015-01-01;17:54:20;1;S;12.50;14
45;2015-01-01;17:55:48;1;L;17.95;22
45;2015-01-01;17:55:48;1;S;10.50;1
45;2015-01-01;17:55:48;1;M;16.75;6
46;2015-01-01;18:25:51;1;L;20.75;19
46;2015-01-01;18:25:51;1;L;20.50;2
46;2015-01-01;18:25:51;1;M;16.75;6
47;2015-01-01;18:26:34;1;L;20.75;16
47;2015-01-01;18:26:34;1;S;12.00;15
48;2015-01-01;18:26:42;1;M;16.75;19
48;2015-01-01;18:26:42;1;S;12.00;11
48;2015-01-01;18:26:42;1;L;20.75;7
48;2015-01-01;18:26:42;1;L;20.75;13
49;2015-01-01;18:33:00;1;L;20.25;29
50;2015-01-01;18:41:01;1;XL;25.50;9
51;2015-01-01;18:48:28;1;L;20.75;8
51;2015-01-01;18:48:28;1;L;17.50;31
52;2015-01-01;18:53:02;1;L;16.50;1
52;2015-01-01;18:53:02;1;L;20.25;5
52;2015-01-01;18:53:02;1;L;20.75;13
53;2015-01-01;18:54:17;1;S;11.00;31
53;2015-01-01;18:54:17;1;M;16.50;10
54;2015-01-01;19:01:45;1;M;16.50;7
54;2015-01-01;19:01:45;1;L;20.75;6
55;2015-01-01;19:03:19;1;S;12.50;27
55;2015-01-01;19:03:19;1;L;20.75;13
56;2015-01-01;19:07:00;1;M;16.00;2
56;2015-01-01;19:07:00;1;L;20.25;26
56;2015-01-01;19:07:00;1;M;16.75;16
57;2015-01-01;19:10:51;1;M;16.00;2
58;2015-01-01;19:30:40;1;L;18.50;3
58;2015-01-01;19:30:40;1;M;12.50;18
59;2015-01-01;19:40:08;1;S;12.75;25
59;2015-01-01;19:40:08;1;S;11.00;31
59;2015-01-01;19:40:08;1;L;15.25;18
60;2015-01-01;20:05:16;1;L;20.75;19
60;2015-01-01;20:05:16;1;M;14.75;22
61;2015-01-01;20:08:43;1;M;16.75;8
61;2015-01-01;20:08:43;1;L;20.75;4
62;2015-01-01;20:50:16;1;M;16.75;8
62;2015-01-01;20:50:16;1;M;16.50;10
63;2015-01-01;20:51:42;1;M;14.50;31
64;2015-01-01;20:52:08;1;S;12.00;20
65;2015-01-01;21:16:00;1;S;11.00;31
65;2015-01-01;21:16:00;1;S;12.25;29
65;2015-01-01;21:16:00;1;S;12.50;13
65;2015-01-01;21:16:00;1;M;16.50;10
66;2015-01-01;21:47:55;1;M;16.00;2
66;2015-01-01;21:47:55;1;M;16.00;12
67;2015-01-01;22:03:40;1;L;20.75;16
68;2015-01-01;22:07:32;1;M;16.00;2
68;2015-01-01;22:07:32;1;L;20.75;4
68;2015-01-01;22:07:32;1;M;16.50;4
69;2015-01-01;22:12:13;1;L;20.75;8
70;2015-01-02;11:38:51;1;S;12.75;25
70;2015-01-02;11:38:51;1;L;20.75;21
71;2015-01-02;11:40:50;1;L;20.75;6
72;2015-01-02;11:57:25;1;L;20.25;28
73;2015-01-02;11:58:56;1;S;12.75;6
74;2015-01-02;12:01:12;1;L;18.50;3
74;2015-01-02;12:01:12;1;L;20.25;5
74;2015-01-02;12:01:12;1;S;12.50;14
74;2015-01-02;12:01:12;1;L;20.75;10
75;2015-01-02;12:10:15;1;S;12.50;4
75;2015-01-02;12:10:15;1;L;20.25;26
75;2015-01-02;12:10:15;1;L;20.50;23
76;2015-01-02;12:21:17;1;S;12.00;20
76;2015-01-02;12:21:17;1;L;16.50;1
76;2015-01-02;12:21:17;1;L;21.00;25
76;2015-01-02;12:21:17;1;L;20.75;13
77;2015-01-02;12:22:46;1;M;16.75;8
77;2015-01-02;12:22:46;1;M;13.25;1
78;2015-01-02;12:28:14;1;S;12.00;20
78;2015-01-02;12:28:14;1;S;12.00;2
78;2015-01-02;12:28:14;1;L;17.95;22
78;2015-01-02;12:28:14;1;M;16.00;12
78;2015-01-02;12:28:14;3;L;20.75;13
78;2015-01-02;12:28:14;1;S;12.75;6
79;2015-01-02;12:29:11;1;L;20.50;12
79;2015-01-02;12:29:11;1;S;11.00;31
79;2015-01-02;12:29:11;1;L;20.75;6
80;2015-01-02;12:35:38;1;S;9.75;18
80;2015-01-02;12:35:38;1;M;16.75;6
81;2015-01-02;12:40:01;1;L;20.75;6
82;2015-01-02;12:45:51;1;S;12.00;20
82;2015-01-02;12:45:51;1;M;16.75;17
82;2015-01-02;12:45:51;1;L;20.75;13
82;2015-01-02;12:45:51;1;M;16.00;15
83;2015-01-02;12:53:27;1;S;12.75;16
84;2015-01-02;13:13:41;1;L;15.25;18
85;2015-01-02;13:34:49;1;M;16.00;2
85;2015-01-02;13:34:49;1;S;12.00;2
85;2015-01-02;13:34:49;1;L;20.75;4
85;2015-01-02;13:34:49;1;M;16.00;9
86;2015-01-02;13:40:31;1;L;16.50;1
87;2015-01-02;14:01:02;1;M;16.00;12
87;2015-01-02;14:01:02;1;M;16.00;5
87;2015-01-02;14:01:02;1;L;20.75;10
87;2015-01-02;14:01:02;1;S;12.50;10
88;2015-01-02;14:10:08;1;L;18.50;3
89;2015-01-02;14:30:19;1;L;20.75;21
89;2015-01-02;14:30:19;1;L;20.75;6
90;2015-01-02;15:08:48;1;L;20.25;29
90;2015-01-02;15:08:48;1;S;12.75;6
91;2015-01-02;15:14:43;2;L;20.75;8
91;2015-01-02;15:14:43;1;S;12.75;19
91;2015-01-02;15:14:43;1;S;9.75;18
92;2015-01-02;15:17:02;1;M;16.75;8
92;2015-01-02;15:17:02;1;L;20.75;4
92;2015-01-02;15:17:02;1;M;16.50;4
92;2015-01-02;15:17:02;1;S;12.75;25
92;2015-01-02;15:17:02;1;M;12.50;18
92;2015-01-02;15:17:02;1;M;16.50;27
92;2015-01-02;15:17:02;1;S;12.00;28
92;2015-01-02;15:17:02;1;S;12.50;10
92;2015-01-02;15:17:02;2;M;16.00;9
93;2015-01-02;15:29:31;1;M;16.25;29
94;2015-01-02;16:17:16;1;M;16.00;12
94;2015-01-02;16:17:16;1;S;12.75;16
95;2015-01-02;16:18:04;1;S;12.00;23
95;2015-01-02;16:18:04;1;L;20.75;27
96;2015-01-02;16:21:20;1;S;12.00;23
97;2015-01-02;16:45:33;1;S;12.00;20
98;2015-01-02;17:18:18;1;L;20.50;2
98;2015-01-02;17:18:18;1;L;20.50;23
99;2015-01-02;17:45:42;1;L;20.75;4
100;2015-01-02;17:46:17;1;L;16.50;1
101;2015-01-02;17:51:33;1;L;20.75;17
101;2015-01-02;17:51:33;1;L;15.25;18
101;2015-01-02;17:51:33;1;L;20.75;21
101;2015-01-02;17:51:33;1;M;16.50;13
102;2015-01-02;17:54:04;1;S;12.75;8
102;2015-01-02;17:54:04;1;S;12.50;7
103;2015-01-02;18:02:09;1;S;12.50;10
104;2015-01-02;18:02:12;1;M;16.75;8
104;2015-01-02;18:02:12;1;M;16.75;30
104;2015-01-02;18:02:12;1;M;16.75;25
104;2015-01-02;18:02:12;1;L;20.25;15
105;2015-01-02;18:12:01;2;S;10.50;1
105;2015-01-02;18:12:01;1;L;15.25;18
105;2015-01-02;18:12:01;1;M;16.50;7
106;2015-01-02;18:12:13;1;L;20.25;5
106;2015-01-02;18:12:13;1;L;20.75;13
107;2015-01-02;18:25:09;1;L;20.75;17
107;2015-01-02;18:25:09;1;M;16.50;4
107;2015-01-02;18:25:09;1;L;20.75;13
107;2015-01-02;18:25:09;1;L;20.25;15
108;2015-01-02;18:25:25;1;L;20.50;2
108;2015-01-02;18:25:25;1;L;16.50;1
108;2015-01-02;18:25:25;1;L;20.75;10
109;2015-01-02;18:27:50;1;L;20.50;12
109;2015-01-02;18:27:50;1;L;20.75;4
109;2015-01-02;18:27:50;1;M;12.50;18
109;2015-01-02;18:27:50;1;L;20.75;7
110;2015-01-02;18:36:19;1;S;12.00;20
110;2015-01-02;18:36:19;1;L;20.50;23
110;2015-01-02;18:36:19;1;L;20.75;21
110;2015-01-02;18:36:19;1;S;12.50;13
111;2015-01-02;18:38:01;1;M;16.75;17
111;2015-01-02;18:38:01;1;L;18.50;3
111;2015-01-02;18:38:01;1;M;12.50;18
111;2015-01-02;18:38:01;1;L;20.75;14
112;2015-01-02;18:41:40;1;S;9.75;18
113;2015-01-02;18:50:21;1;L;20.75;17
113;2015-01-02;18:50:21;1;L;20.25;5
113;2015-01-02;18:50:21;1;M;16.75;16
114;2015-01-02;18:59:32;1;L;15.25;18
114;2015-01-02;18:59:32;1;S;12.25;29
115;2015-01-02;19:05:17;1;S;12.00;20
115;2015-01-02;19:05:17;1;L;20.50;23
115;2015-01-02;19:05:17;1;M;16.75;6
116;2015-01-02;19:18:49;1;L;18.50;3
117;2015-01-02;19:23:02;1;M;16.50;27
117;2015-01-02;19:23:02;1;L;20.25;29
118;2015-01-02;19:26:59;1;L;20.75;7
118;2015-01-02;19:26:59;1;S;12.00;28
119;2015-01-02;19:32:29;1;M;14.75;22
120;2015-01-02;19:35:07;1;S;12.00;2
120;2015-01-02;19:35:07;1;S;10.50;1
120;2015-01-02;19:35:07;1;L;20.25;28
121;2015-01-02;19:38:48;1;M;16.75;8
121;2015-01-02;19:38:48;1;L;17.95;22
121;2015-01-02;19:38:48;1;L;20.25;29
121;2015-01-02;19:38:48;1;L;20.75;16
122;2015-01-02;19:50:19;1;M;16.50;4
123;2015-01-02;20:12:09;1;S;12.00;12
124;2015-01-02;20:12:34;1;S;12.75;8
124;2015-01-02;20:12:34;1;L;20.25;29
124;2015-01-02;20:12:34;1;L;20.75;13
124;2015-01-02;20:12:34;1;S;12.00;9
125;2015-01-02;20:31:06;1;XL;25.50;9
126;2015-01-02;20:53:42;1;L;20.25;15
127;2015-01-02;20:58:23;1;M;12.50;18
128;2015-01-02;21:05:06;1;S;12.50;13
129;2015-01-02;21:13:02;1;S;12.00;20
129;2015-01-02;21:13:02;1;M;16.00;9
130;2015-01-02;21:14:55;1;S;10.50;1
130;2015-01-02;21:14:55;1;L;20.50;12
130;2015-01-02;21:14:55;1;M;16.00;5
130;2015-01-02;21:14:55;1;S;12.75;16
131;2015-01-02;21:33:10;1;L;20.75;19
131;2015-01-02;21:33:10;1;L;18.50;3
131;2015-01-02;21:33:10;1;S;12.00;11
131;2015-01-02;21:33:10;1;S;12.50;10
132;2015-01-02;21:42:45;1;S;9.75;18
133;2015-01-02;22:00:17;1;L;20.75;8
133;2015-01-02;22:00:17;1;L;16.50;1
133;2015-01-02;22:00:17;1;S;12.00;9
134;2015-01-02;22:13:24;1;S;12.00;20
134;2015-01-02;22:13:24;1;L;20.75;16
134;2015-01-02;22:13:24;1;S;12.50;10
135;2015-01-02;22:29:34;1;L;20.25;15
136;2015-01-02;22:32:49;1;L;18.50;3
136;2015-01-02;22:32:49;1;S;12.50;27
137;2015-01-03;11:34:10;1;L;20.25;26
137;2015-01-03;11:34:10;1;S;9.75;18
137;2015-01-03;11:34:10;1;M;16.50;13
138;2015-01-03;11:44:50;1;M;16.75;17
